Item,Sentence
176651:43,"a, a contractor friend helped me, uh, with some of the, uh, foundation work"
108182:30,i guess you have  to take some things and leave some things.
20718:26,"well, i know that we have some relatives that  live around, like the mumblex area in there,"
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees."
88808:43,"although, um, i have also done oh, free lance magazine writing and some educational writing."
148561:14,"i mean, some people sing,"
176908:22,"and you say you have some strong feelings about, uh, the issue."
34501:47,"but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,"
1686:32,"and, uh, quite honestly, i, i have some little children"
9196:49,"but i do think that, um, congress has backed down much too much on some of the air pollution standards."
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know."
68658:113,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people."
16209:29,and i have two different kinds of breads and some ham
112844:32,"i have worked in anoth-, at some other ones that  were not very good in my opinion."
99256:38,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy."
89238:15,and she was wanting some more information.
86088:57,"and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation."
112290:7,and some of those
145433:59,"even with my gas card you know, i find that i'll go in  to get some gas"
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day"
102781:19,i went to dinner with some friends last weekend
80692:12,and you get some beautiful effects with them.
4490:19,"um, there's been some progressive medical schools  out here, that  have taken that approach."
176346:41,"he crashed and killed some people because he was, uh, smoking some marijuana"
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.
134426:32,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make some money ."
36420:35,"we've, uh, just save the fees and buy some of our own equipment."
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed some strong influence there."
114255:29,"um, uh, i think there's some problems,"
140052:14,"but my son needed some money,"
155121:37,"uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet."
56319:15,and i shred up some just regular white cheese.
120254:15,"i've read some things about him that he was, he wasn't too good himself."
99947:44,"so but, uh, you know, we probably did some ice skating on it,"
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality."
35674:45,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.
140964:11,and spend some time with him.
47593:18,"then my father got us some tickets,"
54511:40,"there's, there is, you know some blood and everything"
38844:23,"i do do some crafts like it mentioned in the thing,"
72387:13,and i see some of the problems the kids have  when they don't have a real good family structure .
15535:31,"now, i've seen, you know, some different clips of it, um,"
91704:14,"i'm doing some reviews of books,  just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done  for the journal,"
29385:35,"and they go back and forth, where everyone's giving some opinions"
165513:41,"and then with that i try and handle, you know, some of the clothes that the girls need  and things like that,"
5156:27,"i've been trying  to do some bibs for him. and, uh, work on his christmas stocking."
71923:26,because i work some weird hours and do some traveling.
1177:17,"i've even had some of them,"
109067:60,"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"
8885:15,what  are some of your things you like  to do .
102431:45,"i know they do do some, they do have some classes   in, um, high schools and things for kids  to, uh, give them an idea of what family life is like  and the, uh, you know, and, uh, that kind of thing"
57403:47,"it had, uh, leather, leather designs and, um, some other, other little things on it"
88674:10,i did some typing for my father when he had the company
96886:11,there's some men out there that  are more feminine than most women.
9967:56,"they don't understand that to make that work, they've got  to take some responsibility for themselves."
97989:5,"some of the changing roles of women in that respect, i have been a product of ."
2345:39,"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,"
113850:63,"if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might."
82800:12,"my wife did some teaching at like, uh, like a private tutoring place. a sylvan learning center this year"
116717:11,i know some people that  went to b y u.
20142:232,"well, i think in a way, though, uh, uh, i also have, uh, an opposite point of view, which  is, uh, although i believe we should, uh, permit, uh, you know, constant immigration into this country uh, i think we should, uh, primarily for economic reasons, i think we should have, um, some quotas,"
171282:63,"but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it ."
1939:10,"i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties ."
11991:7,"and some of it runs off right away into the, in to the streams and rivers"
134021:50,"and i think that it's, it's very surprising some of these very expensive volvos can be gotten  for a lot less money than you would think if you're willing  to buy ones that  are about, the vintage of the cars that you and i currently own"
15332:88,"everybody i know  has been, well, i'm going  to go  get a goo-, good job and make some money and buy a nice car."
145355:18,"uh, i got in some problems with, uh, financial problems because of credit cards"
65999:146,"but, uh, you know, i think, uh, they, maybe they need  to, uh, help  promote that more. give incentives like, uh, if they do bring somebody on, they will pay some of their costs or give tax breaks or whatever it is , you know, for them to train people, you know, stuff like that."
137619:16,but they're doing some stomping on virginia.
161653:6,"but some people are more motorboaters, you know which  is fine."
126165:57,"i've got where now i can hit it in, in the air some of the time ."
148538:10,i have some dulcimer music.
103624:72,"it's just, you know, a possible solution in the future, i think , maybe to help in some ways."
155962:19,"and i think also some of the, uh, car companies are coming out with, uh, gas powered fleets so you,"
138291:103,"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"
7267:12,"and painting and some wallpapering,"
112156:136,"and, uh, you know, there was, there was, nothing on it, which  makes me wonder, you know, if it's as, uh, prevalent as, as some of them claim."
32005:38,"and his, uh, son built him a garage and got him some, uh, oh, i don't know what the equipment's called  , but planers and things and s-, set him up,"
90995:20,i think that's some of it.
107909:42,and i don't know why we couldn't have duplicate voting on some of this .
78585:7,"so some of the things are not as, quite as, uh, adaptable."
94633:27,and it's a chance to see some of the relatives you don't see  all year long except that once a year.
164050:47,"but there's so many occasions when i've had  to move some members of the family or do this or that ,"
65989:12,"so we had some interference,"
109644:34,"so, i guess we're old timers compared to some people."
35565:48,"and, uh, if i consider  going the used car route and save up some money, i shouldn't have too much trouble at all."
47226:12,"and there's some pretty decent campgrounds although, i don't think raleigh, i don't think the state of north carolina takes,"
98248:22,"and i think there are some people that  have done that,"
30428:73,"then, you know, then, we thought, well we can use it for, you know, some personal things."
40634:72,"she gets home visitations by the s-, mumblex i don't know, the state boards, i guess, some of them and then some by the association,"
23510:57,"and let's, you know, let's get rid  of some of this harassment suing."
121569:26,i just wish they'd bring some of the old characters back.
172264:114,"i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some smaller homework assignments."
161396:28,"uh, and some of, some stuff that i like , uh,"
5366:34,"uh, we had some, uh, some people from our church  went to israel, uh, just for a, uh, tour sort of thing."
12111:78,"the, uh, united states and canada are i guess, is, is, going into, uh, some types of agreements to limit, uh, what 's being given  out by power plants,"
73491:25,"and, uh, when i seen some of my friends that  have taken that six week old baby, you know, to someone else , it's just, i can imagine how emotional it must be ."
164075:14,"so, we got some monster studded snow tires after that."
121793:107,"you know, i want to, i want  to throw some charcoal on the grill and, and throw a steak  on there and some baked potatoes and stuff like that"
53913:6,and some kids need  to be spanked  at home.
130087:11,what are some of the things they don't recycle  .
15291:54,"it's for, i think, at the same it's for some people to, you know, help them grow in other areas,"
66765:5,"some of the cases i've heard about  over the years,"
63606:10,"and then some of them are done  in, you know, purely metric."
134420:14,we put up some hummingbird feeders and some bird feeders.
74234:44,"i think the other thing is that, uh, we have taken some rather drastic turns in our, in our education and the way we approach things  as of maybe starting back when, when i'm number one, you know, and, uh, uh, uh, worrying about self and not, uh, seeing the consequences of the disintegration of the family ."
105896:51,and i think it 's good that they're trying  to start some programs down in the elementary schools.
171124:6,some of that is really bad i think .
19728:11,where's some reference to this goddamn state of texas and the role that they played  either leading up to  or in  the civil war .
129583:26,i'm going  to look into some other fields.
28711:26,"and the guys that, some of the guys that  run this place are very tight"
110359:35,"like just over the weekend i visited my family, and some cousins i hadn't seen  in a long time,"
43673:87,"i just go  to be entertained  and and not really interested in some of the, like the terminator or some of the schwarzenegger stuff."
102546:21,and i'm not fond of some of those things
175724:80,"well, i, i, i think we did, i think we did learn some lessons that we weren't, uh, we weren't prepared for ,"
158966:17,then i know of some of the people that  have gotten their masters
74757:171,"and i hope maybe we're going  to get somewhere with a little more attention being paid  to it with, uh, reagan's, uh, new education secretary and, uh, you know, trying to do some, uh, trying  to produce some new programs anyway."
126460:28,"but is it a legal, uh, solution for some companies."
62437:24,but i wonder if there aren't some sociology courses.
56101:53,"but, it  is comforting to me to see, uh, more concern about some of these things that, that  cost us money."
53610:9,caused some damage.
13087:15,"and, uh, some of those old ones , of course, bob wills, miss texas playboys ernest tubbs and red foley an,"
76785:80,"i mean, you know, at some point a parent does help their kid, but in, in some ways,"
142147:41,"and i do, i try  to do some arts and crafts"
24418:16,they actually should do some reading
6686:61,"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way."
72579:15,but they usually have some good articles in it.
70670:14,"i've got some onions  out, tomatoes,"
134426:23,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
8865:47,but one of the things that i do  when i've got some spare time  is i do some woodworking.
55933:33,and this would give them a chance  to have some positive self-esteem.
176952:43,"they always want  to be able  to, uh, do some brain draining."
136193:24,"and i saw, there were some stop signs, i mean, submerged up to the writing on the stop sign,"
177474:15,"especially, i did some cabinets in, uh, ash and oak"
150826:22,but i wonder if maybe in some civil cases it doesn't work as well.
108790:55,"and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society."
142499:11,there are some columns that  could be painted   a different color too.
155027:11,i have some friends of mine who  use quicken
11568:18,"in fact, it got some pretty serious deep parts in it"
142849:33,"they need  to have some, some young guys that  can take the lead"
97106:20,"it's, some good, some bad, uh,"
3209:48,"so, so then we got, we got some same things because,"
80299:13,"and there's some days it's just like it 's the hardest thing in the world to, to get started  ."
122893:11,"that's some cold golf too, isn't it."
95645:100,"well, i, i feel in light of some of the accidents and so forth that  have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,"
153721:83,"they, i guess they passed a couple of, uh, uh, laws a here while back in some states in terms of a waiting period where you know you go  to buy a hand gun"
163188:16,"uh, i bought some cokes  the other day in the br-, the little bottles you know,"
64969:34,and i hope you get some more calls and make some more calls.
15903:5,"some of the places  now, um, like i b m don't allow them smoking, you know in, in the plant."
22630:77,"of course what i used  to like  to do  though is go  snorkeling for scallops  in some of the bays, or uh, or oy-, for oysters."
79355:11,"they had some bends , around that we could find and put them in"
164038:17,"so, they've got some pretty powerful sixes."
168216:15,"but they get into some really good conversations sometimes, you know."
26819:29,"and, i think, that they could get some results from that, because there are a lot of people who  are volunteer and community minded,"
148355:8,"even some of that i like  okay but not, mostly, as a general rule,"
172629:33,"there ought  to be, uh, uh, some compromise that  could, where, uh, where the person would be guaranteed  a, uh, career type position but not necessarily a continuation of exactly the same position uh, in exchange for a longer period of time ."
138142:20,"and, and some odd stuff around the house"
103194:37,"my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night"
177013:13,"but there's some differences in the immigrants, that, that we're getting  now."
33002:13,"we've got some good, um, um, hybrid burpee uh uh, pickler cucumbers"
168569:28,"i'm beginning  to believe that some people are simply not rehabilitatable and, uh, that, uh, uh, costs and other factors justify, uh, uh, executing people."
151077:31,"but, uh, apparently for some, some crimes, it 's permissible to have six people sit in judgment."
56897:6,"and some people don't vote,"
166177:13,but there are some school districts out there that  are very well paid.
86100:21,you have  to have some compassion some humanness.
70612:21,living in the city has some advantages.
116495:21,"in fact, i just got some reservations."
26977:14,i've seen some districts where all the schools are lousy
