Time,Participant,Condition,Item,Response.orig,Response,RT,Weaker,Stronger,Sentence frame,scalar_construction,scalar_construction_prefix
1615662809,719c301bdcd2357a19a8142b70de012c,ESI,1,Yes.,1,7923,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615662953,f981c6fcab294dcc3b33cedef49ae4bd,ESI,1,Yes.,1,5238,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615663035,bd1fdd2adccc3a9d7a481317727ff96e,ESI,1,No.,0,5292,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615663245,b981462144525ca196fda66f6810f02e,ESI,1,Yes.,1,7917,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668280,e15d0569159051f0b33deff1c830134b,ESI,1,Yes.,1,3956,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668430,42b311f09b96fc344f2c6e3af4a14503,ESI,1,Yes.,1,3188,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668658,f291de33e558d978a70537d0e62d483c,ESI,1,Yes.,1,10903,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668685,be4e8d0be017435b4c23b082606a51a5,ESI,1,Yes.,1,4310,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668744,e88be932185082540d96daffce2556dc,ESI,1,Yes.,1,5283,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1620000000,031e6385409fd8dc8abe6a3ad061c8bb,ESI,1,Yes.,1,4332,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668970,38623486e30ff1dbd78928529537a036,ESI,1,Yes.,1,2852,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615668994,2241ca8b786deac7f57ec72f1f8bd782,ESI,1,Yes.,1,8231,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669013,c882471fa5b43f3e97acb82b089c3a1b,ESI,1,Yes.,1,7162,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669681,d66fa44744dcf7d8b83ff007d988caec,ESI,1,Yes.,1,1620,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669687,5ce8c300725ae303b123f21f51304fe9,ESI,1,Yes.,1,2755,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669699,63fb01b8f411c380be7e50a317b0990a,ESI,1,Yes.,1,2638,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669765,88f1041932e3d4ee048e1477da67c432,ESI,1,No.,0,4509,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669909,52f98c4e327d1934a4fc34638444a68a,ESI,1,Yes.,1,8765,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669915,ba221f80c6be1fda45d30519339cfe97,ESI,1,Yes.,1,13039,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669924,a47485926b6cabf0ff72a91afea32f53,ESI,1,No.,0,3106,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615669959,94ebb44774f832a31efb0eae02c17a3d,ESI,1,No.,0,4403,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670095,7c024023336d4faca9d1d22f7d3b87a3,ESI,1,Yes.,1,4966,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670145,b265fadeae4df674e0d98a0ce8ca0c8f,ESI,1,Yes.,1,3002,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670155,f626705eb9bd41dbead310269fa6beeb,ESI,1,Yes.,1,3937,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670256,3ed4b1c43f82421d2953381e687dff16,ESI,1,Yes.,1,4360,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
