Item,Sentence,surprisal_at_strong,predicted_token
176651:43,"a, a contractor friend helped me, uh, with some of the, uh, foundation work",12.862883567810059,all
108182:30,i guess you have  to take some things and leave some things.,9.953540802001953,all all
20718:26,"well, i know that we have some relatives that  live around, like the mumblex area in there,",11.987229347229004,all
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.",8.764848709106445,all all
88808:43,"although, um, i have also done oh, free lance magazine writing and some educational writing.",14.145262718200684,all
148561:14,"i mean, some people sing,",11.29179573059082,all
176908:22,"and you say you have some strong feelings about, uh, the issue.",12.017618179321289,all
34501:47,"but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,",12.291972160339355,all
1686:32,"and, uh, quite honestly, i, i have some little children",11.87734603881836,all
9196:49,"but i do think that, um, congress has backed down much too much on some of the air pollution standards.",12.367210388183594,all
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.",12.489034652709961,all all
68658:113,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.",11.876714706420898,all all
16209:29,and i have two different kinds of breads and some ham,9.313937187194824,all
112844:32,"i have worked in anoth-, at some other ones that  were not very good in my opinion.",11.753817558288574,all
99256:38,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.",9.38733196258545,all all
89238:15,and she was wanting some more information.,10.786474227905273,enough
86088:57,"and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.",10.701948165893555,all
112290:7,and some of those,11.07121467590332,all
145433:59,"even with my gas card you know, i find that i'll go in  to get some gas",10.842155456542969,enough
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day",10.048590660095215,all
102781:19,i went to dinner with some friends last weekend,11.589019775390625,all
80692:12,and you get some beautiful effects with them.,11.996857643127441,all
4490:19,"um, there's been some progressive medical schools  out here, that  have taken that approach.",13.0949125289917,all
176346:41,"he crashed and killed some people because he was, uh, smoking some marijuana",10.36475658416748,all all
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.,12.050644874572754,all
134426:32,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries.",9.865994453430176,all all all all
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make some money .",11.780306816101074,enough
36420:35,"we've, uh, just save the fees and buy some of our own equipment.",9.23017692565918,all
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed some strong influence there.",10.732911109924316,all
114255:29,"um, uh, i think there's some problems,",14.141281127929688,all
140052:14,"but my son needed some money,",11.180838584899902,enough
155121:37,"uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet.",12.791686058044434,all
56319:15,and i shred up some just regular white cheese.,6.689416885375977,all
120254:15,"i've read some things about him that he was, he wasn't too good himself.",11.188028335571289,all
99947:44,"so but, uh, you know, we probably did some ice skating on it,",11.141804695129395,all
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",11.258040428161621,all
35674:45,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,10.5929594039917,enough all
140964:11,and spend some time with him.,12.03710651397705,all
47593:18,"then my father got us some tickets,",11.36469841003418,enough
54511:40,"there's, there is, you know some blood and everything",9.813138961791992,all
38844:23,"i do do some crafts like it mentioned in the thing,",11.672680854797363,all
72387:13,and i see some of the problems the kids have  when they don't have a real good family structure .,12.116084098815918,all
15535:31,"now, i've seen, you know, some different clips of it, um,",10.689688682556152,all
91704:14,"i'm doing some reviews of books,  just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done  for the journal,",12.306840896606445,all
29385:35,"and they go back and forth, where everyone's giving some opinions",11.744465827941895,all
165513:41,"and then with that i try and handle, you know, some of the clothes that the girls need  and things like that,",11.567567825317383,all
5156:27,"i've been trying  to do some bibs for him. and, uh, work on his christmas stocking.",12.647639274597168,all
71923:26,because i work some weird hours and do some traveling.,9.748960494995117,all all
1177:17,"i've even had some of them,",8.91887378692627,all
109067:60,"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,",10.785080909729004,all all all all
8885:15,what  are some of your things you like  to do .,12.217325210571289,all
102431:45,"i know they do do some, they do have some classes   in, um, high schools and things for kids  to, uh, give them an idea of what family life is like  and the, uh, you know, and, uh, that kind of thing",10.125724792480469,all all
57403:47,"it had, uh, leather, leather designs and, um, some other, other little things on it",11.0852632522583,all
88674:10,i did some typing for my father when he had the company,11.089231491088867,all
96886:11,there's some men out there that  are more feminine than most women.,12.142765045166016,all
9967:56,"they don't understand that to make that work, they've got  to take some responsibility for themselves.",12.40565013885498,all
97989:5,"some of the changing roles of women in that respect, i have been a product of .",12.137025833129883,all
2345:39,"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,",12.629347801208496,all all all
113850:63,"if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.",11.906754493713379,all
82800:12,"my wife did some teaching at like, uh, like a private tutoring place. a sylvan learning center this year",10.195403099060059,all
116717:11,i know some people that  went to b y u.,11.74777889251709,all
20142:232,"well, i think in a way, though, uh, uh, i also have, uh, an opposite point of view, which  is, uh, although i believe we should, uh, permit, uh, you know, constant immigration into this country uh, i think we should, uh, primarily for economic reasons, i think we should have, um, some quotas,",12.34780502319336,all
171282:63,"but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it .",15.953263282775879,all
1939:10,"i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties .",11.02190113067627,all
11991:7,"and some of it runs off right away into the, in to the streams and rivers",10.767515182495117,all
134021:50,"and i think that it's, it's very surprising some of these very expensive volvos can be gotten  for a lot less money than you would think if you're willing  to buy ones that  are about, the vintage of the cars that you and i currently own",10.388833045959473,all
15332:88,"everybody i know  has been, well, i'm going  to go  get a goo-, good job and make some money and buy a nice car.",10.779014587402344,enough
145355:18,"uh, i got in some problems with, uh, financial problems because of credit cards",13.687777519226074,all
65999:146,"but, uh, you know, i think, uh, they, maybe they need  to, uh, help  promote that more. give incentives like, uh, if they do bring somebody on, they will pay some of their costs or give tax breaks or whatever it is , you know, for them to train people, you know, stuff like that.",8.5982084274292,enough all
137619:16,but they're doing some stomping on virginia.,10.03274154663086,all
161653:6,"but some people are more motorboaters, you know which  is fine.",10.103360176086426,all
126165:57,"i've got where now i can hit it in, in the air some of the time .",8.018633842468262,all
148538:10,i have some dulcimer music.,13.04712963104248,all
103624:72,"it's just, you know, a possible solution in the future, i think , maybe to help in some ways.",15.290827751159668,all
155962:19,"and i think also some of the, uh, car companies are coming out with, uh, gas powered fleets so you,",10.588041305541992,all
138291:103,"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth",10.350601196289062,all all
7267:12,"and painting and some wallpapering,",14.407000541687012,all
112156:136,"and, uh, you know, there was, there was, nothing on it, which  makes me wonder, you know, if it's as, uh, prevalent as, as some of them claim.",8.07406997680664,all
32005:38,"and his, uh, son built him a garage and got him some, uh, oh, i don't know what the equipment's called  , but planers and things and s-, set him up,",10.482423782348633,much
90995:20,i think that's some of it.,11.368224143981934,all
107909:42,and i don't know why we couldn't have duplicate voting on some of this .,11.552489280700684,all
78585:7,"so some of the things are not as, quite as, uh, adaptable.",11.224822044372559,all
94633:27,and it's a chance to see some of the relatives you don't see  all year long except that once a year.,9.314129829406738,all
164050:47,"but there's so many occasions when i've had  to move some members of the family or do this or that ,",9.952242851257324,all
65989:12,"so we had some interference,",12.110785484313965,all
109644:34,"so, i guess we're old timers compared to some people.",11.82388687133789,all
35565:48,"and, uh, if i consider  going the used car route and save up some money, i shouldn't have too much trouble at all.",10.33184814453125,enough
47226:12,"and there's some pretty decent campgrounds although, i don't think raleigh, i don't think the state of north carolina takes,",11.937230110168457,all
98248:22,"and i think there are some people that  have done that,",12.433517456054688,all
30428:73,"then, you know, then, we thought, well we can use it for, you know, some personal things.",14.953192710876465,all
40634:72,"she gets home visitations by the s-, mumblex i don't know, the state boards, i guess, some of them and then some by the association,",8.963983535766602,all all
23510:57,"and let's, you know, let's get rid  of some of this harassment suing.",9.493416786193848,all
121569:26,i just wish they'd bring some of the old characters back.,10.19424057006836,all
172264:114,"i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some smaller homework assignments.",12.89565658569336,all
161396:28,"uh, and some of, some stuff that i like , uh,",9.804950714111328,all all
5366:34,"uh, we had some, uh, some people from our church  went to israel, uh, just for a, uh, tour sort of thing.",10.484098434448242,all all
12111:78,"the, uh, united states and canada are i guess, is, is, going into, uh, some types of agreements to limit, uh, what 's being given  out by power plants,",14.695054054260254,all
73491:25,"and, uh, when i seen some of my friends that  have taken that six week old baby, you know, to someone else , it's just, i can imagine how emotional it must be .",9.270906448364258,all any
164075:14,"so, we got some monster studded snow tires after that.",10.76013469696045,all
121793:107,"you know, i want to, i want  to throw some charcoal on the grill and, and throw a steak  on there and some baked potatoes and stuff like that",8.905686378479004,all all
53913:6,and some kids need  to be spanked  at home.,12.22273063659668,all
130087:11,what are some of the things they don't recycle  .,10.59178352355957,all
15291:54,"it's for, i think, at the same it's for some people to, you know, help them grow in other areas,",12.510963439941406,all
66765:5,"some of the cases i've heard about  over the years,",10.883109092712402,all
63606:10,"and then some of them are done  in, you know, purely metric.",11.114425659179688,all
134420:14,we put up some hummingbird feeders and some bird feeders.,11.272285461425781,all all
74234:44,"i think the other thing is that, uh, we have taken some rather drastic turns in our, in our education and the way we approach things  as of maybe starting back when, when i'm number one, you know, and, uh, uh, uh, worrying about self and not, uh, seeing the consequences of the disintegration of the family .",12.335662841796875,all
105896:51,and i think it 's good that they're trying  to start some programs down in the elementary schools.,12.929971694946289,all
171124:6,some of that is really bad i think .,11.062487602233887,all
19728:11,where's some reference to this goddamn state of texas and the role that they played  either leading up to  or in  the civil war .,13.397879600524902,all
129583:26,i'm going  to look into some other fields.,13.881906509399414,all
28711:26,"and the guys that, some of the guys that  run this place are very tight",9.309755325317383,all
110359:35,"like just over the weekend i visited my family, and some cousins i hadn't seen  in a long time,",10.922603607177734,all
43673:87,"i just go  to be entertained  and and not really interested in some of the, like the terminator or some of the schwarzenegger stuff.",11.571747779846191,all all
102546:21,and i'm not fond of some of those things,10.438838958740234,all
175724:80,"well, i, i, i think we did, i think we did learn some lessons that we weren't, uh, we weren't prepared for ,",12.914046287536621,all
158966:17,then i know of some of the people that  have gotten their masters,9.868603706359863,all
74757:171,"and i hope maybe we're going  to get somewhere with a little more attention being paid  to it with, uh, reagan's, uh, new education secretary and, uh, you know, trying to do some, uh, trying  to produce some new programs anyway.",10.655620574951172,much enough all
126460:28,"but is it a legal, uh, solution for some companies.",12.65037727355957,all
62437:24,but i wonder if there aren't some sociology courses.,14.016209602355957,all
56101:53,"but, it  is comforting to me to see, uh, more concern about some of these things that, that  cost us money.",12.021391868591309,all
53610:9,caused some damage.,13.557001113891602,all
13087:15,"and, uh, some of those old ones , of course, bob wills, miss texas playboys ernest tubbs and red foley an,",11.087868690490723,all
76785:80,"i mean, you know, at some point a parent does help their kid, but in, in some ways,",13.54041576385498,all all
142147:41,"and i do, i try  to do some arts and crafts",11.687460899353027,all
24418:16,they actually should do some reading,9.548147201538086,all
6686:61,"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way.",11.427042007446289,all all
72579:15,but they usually have some good articles in it.,12.4326810836792,all
70670:14,"i've got some onions  out, tomatoes,",9.464428901672363,enough
134426:23,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries.",9.865994453430176,all all all all
8865:47,but one of the things that i do  when i've got some spare time  is i do some woodworking.,11.9485502243042,enough all
55933:33,and this would give them a chance  to have some positive self-esteem.,12.151172637939453,all
