Item,Sentence,surprisal_at_strong,predicted_token
176651:43,"a, a contractor friend helped me, uh, with some of the, uh, foundation work",13.67292308807373,all
108182:30,i guess you have  to take some things and leave some things.,11.378191947937012,all all
20718:26,"well, i know that we have some relatives that  live around, like the mumblex area in there,",12.43123722076416,all
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.",8.665064811706543,all all
88808:43,"although, um, i have also done oh, free lance magazine writing and some educational writing.",12.588262557983398,all
148561:14,"i mean, some people sing,",11.52946662902832,all
176908:22,"and you say you have some strong feelings about, uh, the issue.",12.03022575378418,all
34501:47,"but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,",11.518708229064941,all
1686:32,"and, uh, quite honestly, i, i have some little children",12.080320358276367,all
9196:49,"but i do think that, um, congress has backed down much too much on some of the air pollution standards.",12.089787483215332,all
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.",8.72983169555664,all all
68658:113,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.",10.180222511291504,all all
16209:29,and i have two different kinds of breads and some ham,9.113163948059082,all
112844:32,"i have worked in anoth-, at some other ones that  were not very good in my opinion.",9.4718599319458,all
99256:38,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.",11.056805610656738,all all
89238:15,and she was wanting some more information.,11.82425594329834,enough
86088:57,"and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.",11.540785789489746,all
112290:7,and some of those,11.417142868041992,all
145433:59,"even with my gas card you know, i find that i'll go in  to get some gas",10.593549728393555,enough
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day",11.705612182617188,all
102781:19,i went to dinner with some friends last weekend,12.415329933166504,all
80692:12,and you get some beautiful effects with them.,11.915849685668945,all
4490:19,"um, there's been some progressive medical schools  out here, that  have taken that approach.",12.395414352416992,all
176346:41,"he crashed and killed some people because he was, uh, smoking some marijuana",12.08443546295166,all all
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.,11.322211265563965,all
134426:32,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries.",9.841007232666016,all all all all
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make some money .",13.780034065246582,enough
36420:35,"we've, uh, just save the fees and buy some of our own equipment.",12.748871803283691,all
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed some strong influence there.",10.161383628845215,all
114255:29,"um, uh, i think there's some problems,",11.989041328430176,all
140052:14,"but my son needed some money,",13.557388305664062,enough
155121:37,"uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet.",13.446802139282227,all
56319:15,and i shred up some just regular white cheese.,10.258912086486816,all
120254:15,"i've read some things about him that he was, he wasn't too good himself.",13.264240264892578,all
99947:44,"so but, uh, you know, we probably did some ice skating on it,",10.821101188659668,all
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",12.504961013793945,all
35674:45,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,12.942961692810059,enough all
140964:11,and spend some time with him.,13.316776275634766,all
47593:18,"then my father got us some tickets,",12.993730545043945,enough
54511:40,"there's, there is, you know some blood and everything",9.386490821838379,all
38844:23,"i do do some crafts like it mentioned in the thing,",11.751258850097656,all
72387:13,and i see some of the problems the kids have  when they don't have a real good family structure .,13.567137718200684,all
