Item,Sentence,surprisal_at_strong,predicted_token
176651:43,"a, a contractor friend helped me, uh, with some of the, uh, foundation work",5.6968488693237305,all
108182:30,i guess you have  to take some things and leave some things.,1.7989497184753418,all all
20718:26,"well, i know that we have some relatives that  live around, like the mumblex area in there,",2.9776318073272705,all
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.",3.2292113304138184,all all
88808:43,"although, um, i have also done oh, free lance magazine writing and some educational writing.",5.103964328765869,all
148561:14,"i mean, some people sing,",2.891482353210449,all
176908:22,"and you say you have some strong feelings about, uh, the issue.",4.694407939910889,all
34501:47,"but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,",4.128115177154541,all
1686:32,"and, uh, quite honestly, i, i have some little children",4.165743827819824,all
9196:49,"but i do think that, um, congress has backed down much too much on some of the air pollution standards.",5.1287946701049805,all
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.",2.8541224002838135,all all
68658:113,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.",3.0257182121276855,all all
16209:29,and i have two different kinds of breads and some ham,3.431964874267578,all
112844:32,"i have worked in anoth-, at some other ones that  were not very good in my opinion.",2.6673262119293213,all
99256:38,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.",3.3815371990203857,all all
89238:15,and she was wanting some more information.,5.194427013397217,enough
86088:57,"and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.",4.039525985717773,all
112290:7,and some of those,4.345645904541016,all
145433:59,"even with my gas card you know, i find that i'll go in  to get some gas",3.409433364868164,enough
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day",3.508694887161255,all
102781:19,i went to dinner with some friends last weekend,3.3259458541870117,all
80692:12,and you get some beautiful effects with them.,4.573883056640625,all
4490:19,"um, there's been some progressive medical schools  out here, that  have taken that approach.",4.304375648498535,all
176346:41,"he crashed and killed some people because he was, uh, smoking some marijuana",1.4501410722732544,all all
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.,3.9979248046875,all
134426:32,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries.",3.115601062774658,all all all all
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make some money .",4.423059463500977,enough
36420:35,"we've, uh, just save the fees and buy some of our own equipment.",4.989105701446533,all
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed some strong influence there.",4.0163702964782715,all
114255:29,"um, uh, i think there's some problems,",4.757434844970703,all
140052:14,"but my son needed some money,",4.551279067993164,enough
155121:37,"uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet.",4.248346328735352,all
56319:15,and i shred up some just regular white cheese.,3.848339796066284,all
120254:15,"i've read some things about him that he was, he wasn't too good himself.",3.5381484031677246,all
99947:44,"so but, uh, you know, we probably did some ice skating on it,",4.005592346191406,all
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",2.3290789127349854,all
35674:45,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,5.196170330047607,enough all
140964:11,and spend some time with him.,4.69752311706543,all
