Item,Sentence,surprisal_at_strong,predicted_token
176651:43,"a, a contractor friend helped me, uh, with some of the, uh, foundation work",8.53413200378418,all
108182:30,i guess you have  to take some things and leave some things.,3.879124164581299,all all
20718:26,"well, i know that we have some relatives that  live around, like the mumblex area in there,",3.6601269245147705,all
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.",2.0043540000915527,all all
88808:43,"although, um, i have also done oh, free lance magazine writing and some educational writing.",7.48447847366333,all
148561:14,"i mean, some people sing,",4.989802360534668,all
176908:22,"and you say you have some strong feelings about, uh, the issue.",5.883598804473877,all
34501:47,"but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,",4.617722988128662,all
1686:32,"and, uh, quite honestly, i, i have some little children",2.7846298217773438,all
9196:49,"but i do think that, um, congress has backed down much too much on some of the air pollution standards.",8.177742958068848,all
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.",5.800232887268066,all all
68658:113,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.",2.995431423187256,all all
16209:29,and i have two different kinds of breads and some ham,4.321140289306641,all
112844:32,"i have worked in anoth-, at some other ones that  were not very good in my opinion.",3.5620758533477783,all
99256:38,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.",5.8071441650390625,all all
89238:15,and she was wanting some more information.,5.883787631988525,enough
86088:57,"and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.",5.728920936584473,all
112290:7,and some of those,6.015017509460449,all
145433:59,"even with my gas card you know, i find that i'll go in  to get some gas",4.617239952087402,enough
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day",6.32898473739624,all
102781:19,i went to dinner with some friends last weekend,4.732292175292969,all
80692:12,and you get some beautiful effects with them.,5.52204704284668,all
4490:19,"um, there's been some progressive medical schools  out here, that  have taken that approach.",5.71759033203125,all
176346:41,"he crashed and killed some people because he was, uh, smoking some marijuana",1.8588248491287231,all all
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.,5.218669891357422,all
134426:32,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries.",2.8746142387390137,all all all all
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make some money .",6.790637969970703,enough
36420:35,"we've, uh, just save the fees and buy some of our own equipment.",8.316420555114746,all
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed some strong influence there.",5.017183303833008,all
114255:29,"um, uh, i think there's some problems,",5.500673294067383,all
140052:14,"but my son needed some money,",6.642161846160889,enough
155121:37,"uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet.",6.598076820373535,all
56319:15,and i shred up some just regular white cheese.,4.481310844421387,all
120254:15,"i've read some things about him that he was, he wasn't too good himself.",4.523579120635986,all
99947:44,"so but, uh, you know, we probably did some ice skating on it,",5.373757839202881,all
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",5.13779354095459,all
35674:45,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,7.500648498535156,enough all
140964:11,and spend some time with him.,7.131252288818359,all
47593:18,"then my father got us some tickets,",4.2798686027526855,enough
54511:40,"there's, there is, you know some blood and everything",3.8709535598754883,all
38844:23,"i do do some crafts like it mentioned in the thing,",4.63649320602417,all
72387:13,and i see some of the problems the kids have  when they don't have a real good family structure .,7.895742893218994,all
15535:31,"now, i've seen, you know, some different clips of it, um,",4.322344779968262,all
91704:14,"i'm doing some reviews of books,  just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done  for the journal,",5.476548671722412,all
29385:35,"and they go back and forth, where everyone's giving some opinions",4.385137557983398,all
165513:41,"and then with that i try and handle, you know, some of the clothes that the girls need  and things like that,",7.410520076751709,all
5156:27,"i've been trying  to do some bibs for him. and, uh, work on his christmas stocking.",4.66991662979126,all
71923:26,because i work some weird hours and do some traveling.,3.782900810241699,all all
1177:17,"i've even had some of them,",4.401759147644043,all
109067:60,"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,",5.793657302856445,all all all all
8885:15,what  are some of your things you like  to do .,4.940783500671387,all
102431:45,"i know they do do some, they do have some classes   in, um, high schools and things for kids  to, uh, give them an idea of what family life is like  and the, uh, you know, and, uh, that kind of thing",2.7908787727355957,all all
57403:47,"it had, uh, leather, leather designs and, um, some other, other little things on it",2.9268102645874023,all
88674:10,i did some typing for my father when he had the company,5.076687335968018,all
96886:11,there's some men out there that  are more feminine than most women.,5.24826717376709,all
9967:56,"they don't understand that to make that work, they've got  to take some responsibility for themselves.",8.577676773071289,all
97989:5,"some of the changing roles of women in that respect, i have been a product of .",6.875362396240234,all
2345:39,"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,",3.044851064682007,all all all
113850:63,"if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.",6.323582649230957,all
82800:12,"my wife did some teaching at like, uh, like a private tutoring place. a sylvan learning center this year",3.9788665771484375,all
116717:11,i know some people that  went to b y u.,4.977616786956787,all
20142:232,"well, i think in a way, though, uh, uh, i also have, uh, an opposite point of view, which  is, uh, although i believe we should, uh, permit, uh, you know, constant immigration into this country uh, i think we should, uh, primarily for economic reasons, i think we should have, um, some quotas,",5.932021141052246,all
171282:63,"but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it .",6.5929741859436035,all
1939:10,"i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties .",4.6398444175720215,all
11991:7,"and some of it runs off right away into the, in to the streams and rivers",7.738727569580078,all
134021:50,"and i think that it's, it's very surprising some of these very expensive volvos can be gotten  for a lot less money than you would think if you're willing  to buy ones that  are about, the vintage of the cars that you and i currently own",5.263665676116943,all
15332:88,"everybody i know  has been, well, i'm going  to go  get a goo-, good job and make some money and buy a nice car.",5.831355094909668,enough
145355:18,"uh, i got in some problems with, uh, financial problems because of credit cards",4.639802932739258,all
65999:146,"but, uh, you know, i think, uh, they, maybe they need  to, uh, help  promote that more. give incentives like, uh, if they do bring somebody on, they will pay some of their costs or give tax breaks or whatever it is , you know, for them to train people, you know, stuff like that.",3.914034843444824,enough all
137619:16,but they're doing some stomping on virginia.,3.955833911895752,all
161653:6,"but some people are more motorboaters, you know which  is fine.",4.257640838623047,all
126165:57,"i've got where now i can hit it in, in the air some of the time .",7.17209529876709,all
148538:10,i have some dulcimer music.,5.8459858894348145,all
103624:72,"it's just, you know, a possible solution in the future, i think , maybe to help in some ways.",4.773680210113525,all
155962:19,"and i think also some of the, uh, car companies are coming out with, uh, gas powered fleets so you,",7.610921859741211,all
138291:103,"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth",2.852731466293335,all all
7267:12,"and painting and some wallpapering,",8.663605690002441,all
112156:136,"and, uh, you know, there was, there was, nothing on it, which  makes me wonder, you know, if it's as, uh, prevalent as, as some of them claim.",4.670032978057861,all
